Location,Due Date,Level,Title,Year of Experiment,Salary Max
Ho Chi Minh city,2023,Senior,Data Engineer,2,1800
Ho Chi Minh city,2023,Junior,Data Engineer,"1,5",900
Ho Chi Minh city,2023,Junior,Data Analyst,2,850
Ho Chi Minh city,2023,Manager,Head of Data Science,5,3500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2900
Ha Noi city,2023,Senior,Data Engineer,4,2540
Ha Noi city,2023,Junior,Data Engineer,2,2120
Ha Noi city,2023,Manager,Data Engineer,12,5500
Ho Chi Minh city,2023,Junior,Business Intelligence Analyst,2,1270
Ha Noi city,2023,Manager,Data Governance,8,5000
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Fresher,Data Analyst,1,850
Ha Noi city,2023,Junior,Data Analyst,2,765
Ha Noi city,2023,Fresher,Data Analyst,0,465
Ho Chi Minh city,2023,Senior,Data Analyst,3,1485
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Junior,Data Analyst,2,1200
Ha Noi city,2023,Senior,Data Lead,3,1800
Ha Noi city,2023,Junior,Market Research Analyst,1,1000
Ho Chi Minh city,2023,Senior,Data Analyst,4,2120
Ha Noi city,2023,Junior,Business Intelligence Analyst,1,1270
Ha Noi city,2023,Junior,Data Engineer,2,2120
Ho Chi Minh city,2023,Fresher,Data Scientist,0,850
Ha Noi city,2023,Senior,Data Engineer,5,2120
Ho Chi Minh city,2023,Senior,Data Scientist,3,3000
Ha Noi city,2023,Senior,Data Engineer,3,2965
Ho Chi Minh city,2023,Junior,Data Analyst,1,765
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
